pid,mji_cat,fav,label,primary_subject,secondary_subjects,link,link_2,desription,online_access,primary_lang,last_check,physical_loc,order,layout,collection,thumbnail,full
mji11,electronic_music,,Sydney Dance Party Fliers,Electronic Music,Sydney,https://collection.powerhouse.com.au/object/539530,,"The Museum of Applied Arts & Sciences’ collection of Australian Dance Party Fliers presents over 1,850 fliers from the rave and dance party scene of Sydney between 1990 and 1998. Sydney would become one of the leading rave and dance scenes in the world by the end of the 1980s, but with that popularity came pushback from people living near the large venues, so these fliers reflect the early 90s turn to underground raves. The fliers provide a look into not only who and what kind of music was playing where, but the way organizers communicated through graphic design in a pre-internet era and how Australian dance culture adapted over the decade.",Full,EN,"October, 2023","Sydney, Australia",010,mji_item,music_history,/img/derivatives/simple/mji11/thumbnail.jpg,/img/derivatives/simple/mji11/fullwidth.jpg
mji12,electronic_music,Y,Bass Culture Research,Electronic Music,Jamaica,http://basscultureduk.com/,,"Bass Culture is the first Arts and Humanities Research Council award to the Black Music Research Unit at the University of Westminster. It takes the form of a three-year academic research project exploring the impact of Jamaican and Jamaican-influenced music on British culture. Covering the period from the 1960s to the present day, with an initial focus on London and a particular interest in the years 1976 – 1981, the research explores the profound ways in which the island’s music remade popular music in Britain – and was fundamental in the redefinition of the post-colonial nation. The online archive includes a selection of full and partial interviews and images from the research.",Full,EN,"October, 2023",,011,mji_item,music_history,/img/derivatives/simple/mji12/thumbnail.jpg,/img/derivatives/simple/mji12/fullwidth.jpg
mji13,electronic_music,,Bob Moog Foundation Archives,Electronic Music,Synthesizers,https://moogfoundation.org/projects/bob-moog-foundation-archives/,,"The Bob Moog Foundation Archive is an extensive, historically rich and culturally significant body of materials representing 50 years of pioneering efforts in electronic music. The archive currently includes vintage instruments, prototypes, photographs, schematics, and items from Bob Moog’s extensive career. The archive is not currently open to the public and only operates via collaborations, some of which are documented on the website. Plans are undergoing for a museum that could house the archive in Ashville, NC.",None,EN,"October, 2023","Ashville, NC",012,mji_item,music_history,/img/derivatives/simple/mji13/thumbnail.jpg,/img/derivatives/simple/mji13/fullwidth.jpg
mji14,electronic_music,,Coil Archive,Electronic Music,Experimental Electronic,https://brainwashed.com/coil/index.php,,"An archive of recordings, performances, interviews, and visual materials related to the band Coil, run by Brainwashed. Active between 1982 and 2005 and centered around the duo of John Balance (Psychic TV) and Peter Christopherson (Throbbing Gristle) alongside various contributors, Coil became one of the most mythologized groups to emerge from Britain’s post-industrial scene.",Full,EN,"October, 2023",,013,mji_item,music_history,/img/derivatives/simple/mji14/thumbnail.jpg,/img/derivatives/simple/mji14/fullwidth.jpg
mji15,electronic_music,,Delia Derbyshire Papers,Electronic Music,,https://www.library.manchester.ac.uk/rylands/special-collections/a-to-z/detail/?mms_id=992983876612101631,https://deliaderbyshireday.com/,"Delia Derbyshire was a composer of early electronic music in the UK. This archive contains 267 audio tapes that have been digitized and are available to listen to at the library, including make-up tapes (uncovering the process of how Delia made her music) and recordings from radio and albums by the likes of Art Blakey, Karlheinz Stockhausen, Yusef Lateef and Can. The tapes are largely related to Derbyshire’s freelance projects as most of her work for the BBC is kept in the BBC Archive Centre at Perivale. There are also film donations from Madelon Hooykaas, an audio interview with Delia from Jo Hutton and a 90 second demo cue for an unmade film from the early 1980s donated by the visual artist Elisabeth Kozmian. The physical items include books (about music and electronic music), working notes, correspondence and letters referring to Delia’s work, sound cue sheets, interview transcriptions and newspaper cuttings as well as childhood school notebooks and drawings.",Catalogue only,EN,"October, 2023","Manchester, England",014,mji_item,music_history,/img/derivatives/simple/mji15/thumbnail.jpg,/img/derivatives/simple/mji15/fullwidth.jpg
mji16,electronic_music,Y,Dweller Library,Electronic Music,Techno,https://dwellerforever.blog/library/,,"The Dweller Library is a regularly updated list of articles, interviews and documentaries about techno and its history put together by co-editor Ryan Clarke. It includes books, articles, and audio-visual items.",Full,EN,"October, 2023",,015,mji_item,music_history,/img/derivatives/simple/mji16/thumbnail.jpg,/img/derivatives/simple/mji16/fullwidth.jpg
mji17,electronic_music,,Hyperdub Archive,Electronic Music,"Garage, Grime",https://web.archive.org/web/20201101141750/http://www.riddim.ca/?cat=12,,"While best known today as a music label dedicated to electronic music, Hyperdub originally began life in 2000 as an online magazine run and edited by Steve Goodman, aka Kode9, and featuring writing from Goodman, Kodwo Eshun, Martin Clark and others about the various mutations of dance music at the turn of the century. The magazine disappeared in 2004 when the label was launched. This is a partial, unofficial archive of the magazine. Originally maintained by riddim.ca, it is now only available via the Wayback Machine.",Full,EN,"October, 2023",,016,mji_item,music_history,/img/derivatives/simple/mji17/thumbnail.jpg,/img/derivatives/simple/mji17/fullwidth.jpg
mji18,electronic_music,Y,Map Pointz,Electronic Music,"Latinx, Los Angeles",https://www.instagram.com/map_pointz/,https://www.veteranasandrucas.com/projects-1,"Map Pointz is a community-generated archive dedicated to the 90s L.A. backyard parties, rave and underground scene. It exists primarily on Instagram and is curated by Guadalupe Rosales, a multidisciplinary artist who also runs another, similar, archival project, “Veteranas and Rucas,” dedicated to Latinx women. The projects manifested in 2015 from the under/misrepresentation and historical erasure of Latinx communities in Southern California. These community-generated projects begin with an open invitation to various Latino communities to share personal images and memories that create visual narratives that celebrate identities and historicize subcultures. The archives explore ideas about how history and culture are framed and who does the framing.  

Guadalupe’s studio also houses and preserves a physical archive of Chicano/Latino ephemera from the 1970s to the late-1990s, including but not limited to magazines, prison art and letters, posters and flyers from the Los Angeles underground backyard-party and rave scenes of the 1990s.",Full,EN,"October, 2023",,017,mji_item,music_history,/img/derivatives/simple/mji18/thumbnail.jpg,/img/derivatives/simple/mji18/fullwidth.jpg
mji19,electronic_music,,Optigram Graphic Arts,Electronic Music,Visual Arts,https://www.instagram.com/optigram.graphic.arts,https://www.optigram.net/,"An instagram account archiving the visual work of designer Manuel Sepulveda aka Optigram (Hyperdub, Planet Mu) including album art, photography, flyers and more.",Full,EN,"October, 2023",,018,mji_item,music_history,/img/derivatives/simple/mji19/thumbnail.jpg,/img/derivatives/simple/mji19/fullwidth.jpg
mji20,electronic_music,,Red Bull Music Academy,Electronic Music,"Hip-Hop, Soul, Funk, Jazz",https://www.redbullmusicacademy.com/,https://archive.org/details/redbullacademy,"An annual workshop and lecture series funded by Red Bull and active between 1998 and 2009, the Red Bull Music Academy archive includes hundreds of articles, features, and interviews about modern music history alongside over 400 lectures with musicians and industry professionals available in both text and video.",Full,EN,"October, 2023",,019,mji_item,music_history,/img/derivatives/simple/mji20/thumbnail.jpg,/img/derivatives/simple/mji20/fullwidth.jpg
mji21,electronic_music,,Swiss Museum For Electronic Music Instruments,Electronic Music,Synthesizers,https://smemmusic.ch/en/collection,,"SMEM (Swiss Museum For Electronic Music Instruments) aims to establish itself as the world's first platform for electronic music instruments. The first base of this project was laid by the collection of Klemens Niklaus Trenkle who for the last 35 years collected numerous and valuable synthesizers, organs, keyboards, effects, and studio gear. SMEM is located in the innovation center of the “BlueFactory” in Fribourg (Switzerland).",Catalogue only,EN,"October, 2023","Fribourg, Switzerland",020,mji_item,music_history,/img/derivatives/simple/mji21/thumbnail.jpg,/img/derivatives/simple/mji21/fullwidth.jpg
mji22,experimental,Y,Creative Audio Archive,Experimental Music,"Jazz, Chicago",https://ess.org/caa,,"The Creative Audio Archive (CAA) at Experimental Sound Studio is a Chicago-based center for the  preservation and investigation of innovative and experimental sonic arts and music. CAA was formed for the historical preservation of recordings, print, and visual ephemera related to avant-garde and exploratory sound and music. It features collections from Sun Ra / El Saturn, Links Hall, Malachi Ritscher, Studio Henry, and Experimental Sound Studio (its parent organization), among others.",Catalogue only,EN,"October, 2023","Chicago, IL",021,mji_item,music_history,/img/derivatives/simple/mji22/thumbnail.jpg,/img/derivatives/simple/mji22/fullwidth.jpg
mji23,rec_music,,Internet Underground Music Archive,Recorded Music,Unsigned Music,https://archive.org/details/iuma-archive?tab=collection,,"The IUMA was started in 1993 by three students at the University of California at Santa Cruz: Jeff Patterson, Jon Luini and Rob Lord. The three men worked together to create an online music archive that would help musicians and bands who weren't signed by a major label. The site allowed these unsigned artists to upload files and send them to fans. The site also gave the artists the opportunity to talk with their fans. The IUMA was at first part of the Usenet newsgroups and eventually became part of eMusic and was shut down in 2006. Parts of the collection are now preserved by the Internet Archive.",Full,EN,"October, 2023",,022,mji_item,music_history,/img/derivatives/simple/mji23/thumbnail.jpg,/img/derivatives/simple/mji23/fullwidth.jpg
mji24,music_ind,,Film Music Foundation Collection,Film Scoring,"Music Industry, Classical",https://filmmusicfoundation.org/interviews/,https://www.oscars.org/oral-history/collections,"Founded in 2001 by Elmer Bernstein, Herschel Burke Gilbert and other music professionals, the Film Music Foundation is a non-profit organization that promotes education and preservation in the art of film scoring. The Foundationʼs oral history collection consists of in-depth interviews with composers, lyricists, song writers, arrangers and orchestrators who discuss their unique experiences in writing scores for film and television. Recorded in high-definition video, the interviews are two to three hours long. Maurice Jarre, Danny Elfman, Patrick Doyle, Johnny Mandel, Lalo Schifrin and Dave Grusin are among the composers featured in the collection.",Full,EN,"October, 2023",,023,mji_item,music_history,/img/derivatives/simple/mji24/thumbnail.jpg,/img/derivatives/simple/mji24/fullwidth.jpg
mji25,country_folk,,Berea Sound Archives,Folk,Appalachia,https://libraryguides.berea.edu/BCSoundArchivesGuides,https://libraryguides.berea.edu/appalachianoralhistories,"A collection of sound archives held by Berea College with a focus on folk music and the Appalachians featuring audio, interviews, and oral histories.","Partial, Catalogue",EN,"October, 2023","Berea, KY",024,mji_item,music_history,/img/derivatives/simple/mji25/thumbnail.jpg,/img/derivatives/simple/mji25/fullwidth.jpg
mji26,country_folk,,Broadside Magazine,Music Publications,Folk,https://singout.org/broadside/,,"Founded in 1962, Broadside Magazine was instrumental in the folk-revival and served as a resource for political songwriters through the duration of its publication. The magazine had a stated mission of promoting as many “topical” and political songs as possible. Originally published bi-monthly through the late 70s, Broadside was revived in 1982 and ran until 1988. This archive encompasses all 186 issues of Broadside and is available through the website for folk music magazine Sing Out!",Full,EN,"October, 2023",,025,mji_item,music_history,/img/derivatives/simple/mji26/thumbnail.jpg,/img/derivatives/simple/mji26/fullwidth.jpg
mji27,country_folk,,Canadian Folk Music Magazine,Music Publications,"Folk, Canada",https://www.canfolkmusic.ca/,https://cfmb.icaap.org/archives.html,"Canadian Folk Music / Musique folklorique canadienne is an academic magazine published by The Canadian Society for Traditional Music. The aim is to promote the study and promotion of the traditional music of Canada, reflecting both ethnomusicologist and consumer perspectives.
This archive is split into two sections following a renaming and push to move online. The first 33 issues of this publication are available through the Canadian Folk Music Bulletin (CFMB). The remaining archives up to 2016 are available on the Canadian Folk Music website.",Full,EN,"October, 2023",,026,mji_item,music_history,/img/derivatives/simple/mji27/thumbnail.jpg,/img/derivatives/simple/mji27/fullwidth.jpg
mji28,country_folk,,Lomax Digital Archive,Folk,,https://archive.culturalequity.org/,,"The Lomax Digital Archive is a collection of field recordings, photos, radio programs, videos, and recordings collected and captured by ethnomusicologist and folklorist Alan Lomax and his father, John A. Lomax. The archive contains documentation of traditional and folk music from all over the world and spans seven decades. The site also features a podcast that explores Lomax’s work in greater depth as well as the Global Jukebox, an interactive application to explore the contents of the archive.",Full,EN,"October, 2023",Washington D.C.,027,mji_item,music_history,/img/derivatives/simple/mji28/thumbnail.jpg,/img/derivatives/simple/mji28/fullwidth.jpg
mji29,country_folk,Y,Foundation For Arab Music Archiving & Research,Folk,"Arab Music, Lebanon",http://www.amar-foundation.org/about/,,"AMAR is a Lebanese foundation committed to the preservation and dissemination of traditional Arab music. AMAR owns 7,000 records, principally from the “Nahda” era (1903 – 1930s), as well as around 6,000 hours of recordings on reel. To safeguard this rare collection, AMAR has acquired a state-of-the-art studio specifically dedicated to the digitization and conservation of this music. The website includes a historical timeline, artist catalogue, recordings, and a podcast.",Full,EN,"October, 2023","Beirut, Lebanon",028,mji_item,music_history,/img/derivatives/simple/mji29/thumbnail.jpg,/img/derivatives/simple/mji29/fullwidth.jpg
mji30,country_folk,,Minnesota Bluegrass Music Oral History Project,Folk,"Bluegrass, Minnesota",http://collections.mnhs.org/cms/display?irn=11373088,,"Eleven interviews with bluegrass musicians selected for their representative viewpoints of Minnesota bluegrass culture and its history. Topics discussed revolve around the development of bluegrass style and its musical culture, its connection to country and folk music, the Minnesota Bluegrass and Old-Time Music Association, personal and musical influences, other musicians, and musical events and festivals.",Full,EN,"October, 2023. NB: As of this date the oral history repository has been taken offline temporarily while the Minnesota Historical Society updates its online infrastructure.",,029,mji_item,music_history,/img/derivatives/simple/mji30/thumbnail.jpg,/img/derivatives/simple/mji30/fullwidth.jpg
mji31,hiphop,,Cornell Hip Hop Collection,Hip-Hop,,https://rmc.library.cornell.edu/hiphop/,,"The mission of the Cornell Hip Hop Collection (CHHC) is to collect and make accessible the historical artifacts of hip-hop culture and to ensure their preservation for future generations. Established in 2007, the CHHC preserves more than 250,000 items across dozens of archives documenting the origins of hip-hop culture and its spread around the globe. Located in Cornell Library’s Division of Rare and Manuscript Collections, the archives include thousands of sound and video recordings, hundreds of party and event flyers, artwork, photographs, books, magazines, and advertising, along with the archives of photographers, filmmakers, dancers, MC’s, DJ’s, artists, journalists, producers and publicists, and independent labels, managers and agencies. The physical archive is open to the public.","Partial, Catalogue",EN,"October, 2023","Ithaca, NY",030,mji_item,music_history,/img/derivatives/simple/mji31/thumbnail.jpg,/img/derivatives/simple/mji31/fullwidth.jpg
mji32,hiphop,,Hip-Hop Archive and Research Institute,Hip-Hop,,http://hiphoparchive.org/,,"The Hip-Hop Archive and Research Institute's mission is to facilitate and encourage the pursuit of knowledge, art, culture and responsible leadership through hip-hop. Toward these goals, their website provides information about all of their activities and projects and serves as a resource for those interested in knowing, developing, building, maintaining and representing hip-hop. The site currently includes interviews, artist profiles, and the Classic Crates project.",Full,EN,"October, 2023",,031,mji_item,music_history,/img/derivatives/simple/mji32/thumbnail.jpg,/img/derivatives/simple/mji32/fullwidth.jpg
mji33,hiphop,,Hip-Hop Radio Archive,Hip-Hop,Radio,https://hiphopradioarchive.org/,,"The Hip-Hop Radio Archive aims to digitize, preserve, share, and contextualize recordings of hip-hop radio from the 1980s and 1990s from commercial, college, community, and pirate stations of all sizes, telling the stories of the shows and the people that made them. The archive only links to existing audio files at the Internet Archive or wherever they may be available.",Full,EN,"October, 2023",,032,mji_item,music_history,/img/derivatives/simple/mji33/thumbnail.jpg,/img/derivatives/simple/mji33/fullwidth.jpg
mji34,hiphop,Y,Houston Hip-Hop Research Collection,Hip-Hop,Houston,https://libraries.uh.edu/locations/special-collections/houston-hip-hop/,,"The Houston Hip Hop Research Collection documents the unique music and culture of Houston hip-hop. One of the key parts of its collection is 1,500 vinyl records owned by DJ Screw, originator of the “chopped and screwed” genre. The personal and business papers of other musical and visual artists are also represented.","Partial, Catalogue",EN,"October, 2023","Houston, TX",033,mji_item,music_history,/img/derivatives/simple/mji34/thumbnail.jpg,/img/derivatives/simple/mji34/fullwidth.jpg
mji35,hiphop,,Massachusetts Hip-Hop Archive,Hip-Hop,Massachusetts,https://openarchives.umb.edu/digital/collection/p15774coll30,,"In 2016, University Archives & Special Collections in the Joseph P. Healey Library at UMass Boston launched the Massachusetts Hip-Hop Archive with an initial donation by Pacey Foster of recordings from the Lecco’s Lemma radio program, a local rap music show that was founded by Magnus Johnstone and ran from 1985 to 1988 on local college radio stations WMBR (88.1 FM) and WZBC (90.3 FM). This digital collections includes The Lecco’s Lemma Collection, which contains both artist demos that were given to Magnus, as well as recordings of the show made by Willie “Loco” Alexander, who regularly taped the show throughout its run, and The Tony Rose and Yvonne Rose Collection, which currently contains a recording of a locally-produced show, Dance Slam, from 1989.",Full,EN,"October, 2023","Boston, MA",034,mji_item,music_history,/img/derivatives/simple/mji35/thumbnail.jpg,/img/derivatives/simple/mji35/fullwidth.jpg
mji36,hiphop,,NOLA Hiphop And Bounce Archive,Hip-Hop,"Bounce, New Orleans",https://digitallibrary.tulane.edu/islandora/object/tulane:p16313coll68,,"The NOLA HipHop Archive has to date focused on the recording and collection of digital videotaped oral histories. The collection currently contains over 60 videotaped interviews with leading hip-hop and bounce artists, with new interviews added on an ongoing basis.",Full,EN,"October, 2023","New Orleans, LA",035,mji_item,music_history,/img/derivatives/simple/mji36/thumbnail.jpg,/img/derivatives/simple/mji36/fullwidth.jpg
mji37,hiphop,,Northside Hip Hop Archive,Hip-Hop,Canada,https://www.nshharchive.ca/,,"Northside Hip Hop Archive is a digital collection of Canadian hip-hop history and culture. This site is a living archive, which means they are currently in the process of digitizing, cataloguing and engaging communities across the country. It currently features artist profiles and a Canadian hip-hop music video library.",Full,EN,"October, 2023",,036,mji_item,music_history,/img/derivatives/simple/mji37/thumbnail.jpg,/img/derivatives/simple/mji37/fullwidth.jpg
mji38,jazz,Y,Living Collections Catalogue—Creative Black Music at The Walker,Jazz,Avant-Garde,https://walkerart.org/collections/publications/jazz/creative-black-music-at-the-walker-selections-from-the-archives,,"Creative Black Music at the Walker: Selections from the Archives is the fourth installment in the Walker Art Center’s Living Collections Catalogue that focuses on a select group of musicians in the 60s and 70s who have performed at the Walker multiple times. This collection features audio and video recordings, photos, correspondence, posters, and programs as well as commissioned essays to accompany each subject. Subjects include Amiri Baraka, Julius Eastman, Anthony Braxton, Betty Carter, Ornette Coleman, Julius Eastman, Wadada Leo Smith, Cecil Taylor, and Henry Threadgill.",Full,EN,"October, 2023","New York City, NY",037,mji_item,music_history,/img/derivatives/simple/mji38/thumbnail.jpg,/img/derivatives/simple/mji38/fullwidth.jpg
mji39,jazz,,Oral History Archives at Columbia University,Jazz,Classical,https://library.columbia.edu/collections/oral-history-portal.html,https://library.columbia.edu/libraries/ccoh.html,"A portal for browsing all available oral histories held at Columbia University, across all subjects. Music oral histories include a selection of interviews with Chicago jazz musicians and Austrian immigrants to the United States.",Catalogue only,EN,"October, 2023","New York City, NY",038,mji_item,music_history,/img/derivatives/simple/mji39/thumbnail.jpg,/img/derivatives/simple/mji39/fullwidth.jpg
mji40,jazz,,African American Jazz Preservation Society of Pittsburgh Oral History Project,Jazz,Pittsburgh,https://digital.library.pitt.edu/collection/african-american-jazz-preservation-society-pittsburgh-oral-history-project-records-recordings,,"This oral history collection consists of transcripts, cassette tapes, project working files and background organizational records of the interviews conducted during the African American Jazz Preservation Society of Pittsburgh (AAJPSP) Oral History Project (1995-1999). The project documents individual African American Jazz Musicians in Pittsburgh as well as their efforts to organize. The content of the interviews span from 1904 to 1999.","Partial, Catalogue",EN,"October, 2023","Pittsburgh, PA",039,mji_item,music_history,/img/derivatives/simple/mji40/thumbnail.jpg,/img/derivatives/simple/mji40/fullwidth.jpg
mji41,jazz,,Brubeck Oral History Project,Jazz,,https://scholarlycommons.pacific.edu/bohp/,,"Dave and Iola Brubeck were interviewed for this oral history project on January 30 and 31, 2007. During the interviews, the Brubecks discussed a broad range of topics from throughout their lives. Some of the stories cover well-known episodes in their career, others are related here for the first time.",Partial,EN,"October, 2023","Seattle, WA",040,mji_item,music_history,/img/derivatives/simple/mji41/thumbnail.jpg,/img/derivatives/simple/mji41/fullwidth.jpg
mji42,jazz,Y,Linked Jazz,Jazz,,https://linkedjazz.org/network/,,"An interactive visualisation of relationships between jazz musicians with annotations and music/video links, based on publicly available data.",Full,EN,"October, 2023",,041,mji_item,music_history,/img/derivatives/simple/mji42/thumbnail.jpg,/img/derivatives/simple/mji42/fullwidth.jpg
mji43,jazz,,National Jazz Archive,Jazz,United Kingdom,https://nationaljazzarchive.org.uk/,,"The National Jazz Archive is a comprehensive resource on the history of jazz in the UK, documenting the development of the genre as well as stories of art, fashion, cultural diversity and social progress. The archive includes interviews, photographs, books, periodicals, posters, and more.",Partial,EN,"October, 2023","Loughton, England",042,mji_item,music_history,/img/derivatives/simple/mji43/thumbnail.jpg,/img/derivatives/simple/mji43/fullwidth.jpg
mji44,jazz,,Rutgers Institute of Jazz Studies Research Portal,Jazz,,https://ijsresearch.libraries.rutgers.edu/,https://ijsresearch.libraries.rutgers.edu/jazz-oral-history-project,"The Institute of Jazz Studies' mission is enhancing access to its collection - primarily based around its Jazz Oral History project and collection - to foster research in the areas of jazz and music history. The IJS Research Portal provides digital access to selected IJS collections in the Institute of Jazz Studies to further its mission and the mission of the Rutgers University Libraries to the Rutgers community, to scholars, and to the general public.",Partial,EN,"October, 2023",New Jersey,043,mji_item,music_history,/img/derivatives/simple/mji44/thumbnail.jpg,/img/derivatives/simple/mji44/fullwidth.jpg
mji45,jazz,,Smithsonian Jazz Oral History Program,Jazz,,https://americanhistory.si.edu/smithsonian-jazz/collections-and-archives/smithsonian-jazz-oral-history-program,,"Established by the Smithsonian's National Museum of American History in 1992, the Jazz Oral History Program documented more than one hundred senior jazz musicians, performers, relatives, and business associates. Each interview was conducted by a jazz authority and was recorded on digital audiotape by a professional audio engineer. The interviews average six hours in length and cover a wide range of topics including early years, initial involvement in music, generally, and jazz specifically, as well as experiences in the jazz music world, including relationships to musicians.","Partial, Catalogue",EN,"October, 2023",Washington D.C.,044,mji_item,music_history,/img/derivatives/simple/mji45/thumbnail.jpg,/img/derivatives/simple/mji45/fullwidth.jpg
